Row Labels,Sum of Survived,Count of Sex
12.525,0,1
12.875,0,1
13,4,28
13.5,0,3
13.8625,1,1
14,0,1
14.5,1,1
15,0,1
15.0458,0,1
15.05,0,1
18.75,2,2
21,0,3
24,0,1
26,3,15
26.25,0,2
27,0,1
27.7208,0,1
27.75,0,1
29,1,1
30.0708,0,1
33,0,1
36.75,1,2
37.0042,1,2
39,1,2
41.5792,0,1
73.5,0,5
3,47,347
0,1,4
4.0125,0,1
6.2375,0,1
6.4375,0,1
6.45,0,1
6.4958,0,2
6.75,0,1
6.8583,0,1
6.95,0,1
6.975,1,2
7.0458,0,1
7.05,0,7
7.0542,0,2
7.125,0,4
7.1417,1,1
7.225,1,10
7.2292,2,13
7.25,0,12
7.3125,0,1
7.4958,0,2
7.5208,0,1
7.55,0,2
7.65,0,3
7.725,0,1
7.7292,0,1
7.7333,0,2
7.7375,0,1
7.7417,0,1
7.75,2,19
7.775,2,13
7.7958,2,6
7.8,0,1
7.8292,0,1
7.8542,1,9
7.875,0,1
7.8875,0,1
7.8958,1,37
7.925,5,13
8.05,5,41
8.1125,1,1
8.1583,0,1
8.3,0,1
8.3625,0,1
8.4042,0,1
8.4333,0,1
8.4583,0,1
8.5167,1,1
8.6542,0,1
8.6625,1,11
8.7125,0,1
9,0,2
9.2167,0,1
9.225,0,2
9.35,0,1
9.4833,0,1
9.5,2,9
9.8458,0,1
10.1708,0,1
11.1333,1,1
11.2417,1,1
12.475,1,1
14.1083,0,1
14.4,0,1
14.4542,0,2
14.4583,0,1
14.5,0,4
15.1,0,1
15.2458,2,2
15.5,0,4
15.55,0,1
15.7417,1,1
15.85,0,2
15.9,2,2
16.1,0,6
17.8,0,1
18,0,1
18.7875,1,2
19.9667,0,2
20.2125,0,1
20.25,0,1
20.525,1,2
20.575,1,2
21.075,0,1
21.6792,0,1
22.525,0,1
23.25,1,1
23.45,0,1
24.15,0,5
25.4667,0,1
27.9,0,3
29.125,0,4
31.275,0,2
31.3875,1,2
34.375,0,1
39.6875,0,5
46.9,0,4
56.4958,5,7
69.55,0,4
Grand Total,342,891
